0,1
0,2
0,3
0,4
0,7
1,0
1,5
1,6
1,15
2,0
2,11
2,14
3,0
3,12
3,13
4,0
5,0
5,1
6,0
6,1
6,2
6,13
7,0
7,1
7,2
7,3
7,4
7,5
7,12
7,13
8,4
8,5
8,6
8,7
8,12
9,6
9,7
9,8
9,11
10,4
10,11
10,15
11,1
11,2
11,3
11,5
11,10
11,15
12,1
12,3
12,15
13,1
13,2
13,3
13,6
13,7
14,10
14,11
15,4
15,9
15,10
15,11
15,12


0,1
0,2
0,3
0,4
0,7
1,0
1,5
1,6
1,15
2,0
2,11
2,14
3,0
3,12
3,13
4,0
5,0
5,1
6,0
6,1
6,2
6,13
7,0
7,1
7,2
7,3
7,4
7,5
7,12
7,13
8,4
8,5
8,6
8,7
8,12
9,6
9,7
9,8
9,11
10,4
10,11
10,15
11,5
11,10
11,15
12,3
12,15
13,2
13,3
13,6
13,7
14,10
14,11
15,4
15,9
15,10
15,11
15,12
